a,b,s,d,flag,day,t
52,828000,tag3,90.0,true,1972-04-08,2013-07-15 10:13:48
53,829000,tag4,91.5,false,1972-04-09,2013-07-15 10:13:49
54,830000,tag0,93.0,true,1972-04-10,2013-07-15 10:13:50
55,831000,tag1,94.5,false,1972-04-11,2013-07-15 10:13:51
56,832000,tag2,0.0,true,1972-04-12,2013-07-15 10:13:52
57,833000,,1.5,false,1972-04-13,2013-07-15 10:13:53
58,834000,tag4,3.0,true,1972-04-14,2013-07-15 10:13:54
59,835000,tag0,4.5,false,1972-04-15,2013-07-15 10:13:55
60,836000,tag1,6.0,true,1972-04-16,2013-07-15 10:13:56
61,837000,tag2,7.5,false,1972-04-17,2013-07-15 10:13:57
62,838000,tag3,9.0,true,1972-04-18,2013-07-15 10:13:58
63,839000,tag4,10.5,false,1972-04-19,2013-07-15 10:13:59
64,840000,,12.0,true,1972-04-20,2013-07-15 10:14:00
65,841000,tag1,13.5,false,1972-04-21,2013-07-15 10:14:01
66,842000,tag2,15.0,true,1972-04-22,2013-07-15 10:14:02
67,843000,tag3,16.5,false,1972-04-23,2013-07-15 10:14:03
68,844000,tag4,18.0,true,1972-04-24,2013-07-15 10:14:04
69,845000,tag0,19.5,false,1972-04-25,2013-07-15 10:14:05
70,846000,tag1,21.0,true,1972-04-26,2013-07-15 10:14:06
71,847000,,22.5,false,1972-04-27,2013-07-15 10:14:07
72,848000,tag3,24.0,true,1972-04-28,2013-07-15 10:14:08
73,849000,tag4,25.5,false,1972-04-29,2013-07-15 10:14:09
74,850000,tag0,27.0,true,1972-04-30,2013-07-15 10:14:10
75,851000,tag1,28.5,false,1972-05-01,2013-07-15 10:14:11
76,852000,tag2,30.0,true,1972-05-02,2013-07-15 10:14:12
77,853000,tag3,31.5,false,1972-05-03,2013-07-15 10:14:13
78,854000,,33.0,true,1972-05-04,2013-07-15 10:14:14
79,855000,tag0,34.5,false,1972-05-05,2013-07-15 10:14:15
80,856000,tag1,36.0,true,1972-05-06,2013-07-15 10:14:16
81,857000,tag2,37.5,false,1972-05-07,2013-07-15 10:14:17
82,858000,tag3,39.0,true,1972-05-08,2013-07-15 10:14:18
83,859000,tag4,40.5,false,1972-05-09,2013-07-15 10:14:19
84,860000,tag0,42.0,true,1972-05-10,2013-07-15 10:14:20
85,861000,,43.5,false,1972-05-11,2013-07-15 10:14:21
86,862000,tag2,45.0,true,1972-05-12,2013-07-15 10:14:22
87,863000,tag3,46.5,false,1972-05-13,2013-07-15 10:14:23
88,864000,tag4,48.0,true,1972-05-14,2013-07-15 10:14:24
89,865000,tag0,49.5,false,1972-05-15,2013-07-15 10:14:25
90,866000,tag1,51.0,true,1972-05-16,2013-07-15 10:14:26
91,867000,tag2,52.5,false,1972-05-17,2013-07-15 10:14:27
92,868000,,54.0,true,1972-05-18,2013-07-15 10:14:28
93,869000,tag4,55.5,false,1972-05-19,2013-07-15 10:14:29
94,870000,tag0,57.0,true,1972-05-20,2013-07-15 10:14:30
95,871000,tag1,58.5,false,1972-05-21,2013-07-15 10:14:31
96,872000,tag2,60.0,true,1972-05-22,2013-07-15 10:14:32
0,873000,tag3,61.5,false,1972-05-23,2013-07-15 10:14:33
1,874000,tag4,63.0,true,1972-05-24,2013-07-15 10:14:34
2,875000,,64.5,false,1972-05-25,2013-07-15 10:14:35
3,876000,tag1,66.0,true,1972-05-26,2013-07-15 10:14:36
4,877000,tag2,67.5,false,1972-05-27,2013-07-15 10:14:37
5,878000,tag3,69.0,true,1972-05-28,2013-07-15 10:14:38
6,879000,tag4,70.5,false,1972-05-29,2013-07-15 10:14:39
7,880000,tag0,72.0,true,1972-05-30,2013-07-15 10:14:40
8,881000,tag1,73.5,false,1972-05-31,2013-07-15 10:14:41
9,882000,,75.0,true,1972-06-01,2013-07-15 10:14:42
10,883000,tag3,76.5,false,1972-06-02,2013-07-15 10:14:43
11,884000,tag4,78.0,true,1972-06-03,2013-07-15 10:14:44
12,885000,tag0,79.5,false,1972-06-04,2013-07-15 10:14:45
13,886000,tag1,81.0,true,1972-06-05,2013-07-15 10:14:46
14,887000,tag2,82.5,false,1972-06-06,2013-07-15 10:14:47
15,888000,tag3,84.0,true,1972-06-07,2013-07-15 10:14:48
16,889000,,85.5,false,1972-06-08,2013-07-15 10:14:49
17,890000,tag0,87.0,true,1972-06-09,2013-07-15 10:14:50
18,891000,tag1,88.5,false,1972-06-10,2013-07-15 10:14:51
19,892000,tag2,90.0,true,1972-06-11,2013-07-15 10:14:52
20,893000,tag3,91.5,false,1972-06-12,2013-07-15 10:14:53
21,894000,tag4,93.0,true,1972-06-13,2013-07-15 10:14:54
22,895000,tag0,94.5,false,1972-06-14,2013-07-15 10:14:55
23,896000,,0.0,true,1972-06-15,2013-07-15 10:14:56
24,897000,tag2,1.5,false,1972-06-16,2013-07-15 10:14:57
25,898000,tag3,3.0,true,1972-06-17,2013-07-15 10:14:58
26,899000,tag4,4.5,false,1972-06-18,2013-07-15 10:14:59
27,900000,tag0,6.0,true,1972-06-19,2013-07-15 10:00:00
28,901000,tag1,7.5,false,1972-06-20,2013-07-15 10:00:01
29,902000,tag2,9.0,true,1972-06-21,2013-07-15 10:00:02
30,903000,,10.5,false,1972-06-22,2013-07-15 10:00:03
31,904000,tag4,12.0,true,1972-06-23,2013-07-15 10:00:04
32,905000,tag0,13.5,false,1972-06-24,2013-07-15 10:00:05
33,906000,tag1,15.0,true,1972-06-25,2013-07-15 10:00:06
34,907000,tag2,16.5,false,1972-06-26,2013-07-15 10:00:07
35,908000,tag3,18.0,true,1972-06-27,2013-07-15 10:00:08
36,909000,tag4,19.5,false,1972-06-28,2013-07-15 10:00:09
37,910000,,21.0,true,1972-06-29,2013-07-15 10:00:10
38,911000,tag1,22.5,false,1972-06-30,2013-07-15 10:00:11
39,912000,tag2,24.0,true,1972-07-01,2013-07-15 10:00:12
40,913000,tag3,25.5,false,1972-07-02,2013-07-15 10:00:13
41,914000,tag4,27.0,true,1972-07-03,2013-07-15 10:00:14
42,915000,tag0,28.5,false,1972-07-04,2013-07-15 10:00:15
43,916000,tag1,30.0,true,1972-07-05,2013-07-15 10:00:16
44,917000,,31.5,false,1972-07-06,2013-07-15 10:00:17
45,918000,tag3,33.0,true,1972-07-07,2013-07-15 10:00:18
46,919000,tag4,34.5,false,1972-07-08,2013-07-15 10:00:19
47,920000,tag0,36.0,true,1972-07-09,2013-07-15 10:00:20
48,921000,tag1,37.5,false,1972-07-10,2013-07-15 10:00:21
49,922000,tag2,39.0,true,1972-07-11,2013-07-15 10:00:22
50,923000,tag3,40.5,false,1972-07-12,2013-07-15 10:00:23
51,924000,,42.0,true,1972-07-13,2013-07-15 10:00:24
52,925000,tag0,43.5,false,1972-07-14,2013-07-15 10:00:25
53,926000,tag1,45.0,true,1972-07-15,2013-07-15 10:00:26
54,927000,tag2,46.5,false,1972-07-16,2013-07-15 10:00:27
55,928000,tag3,48.0,true,1972-07-17,2013-07-15 10:00:28
56,929000,tag4,49.5,false,1972-07-18,2013-07-15 10:00:29
57,930000,tag0,51.0,true,1972-07-19,2013-07-15 10:00:30
58,931000,,52.5,false,1972-07-20,2013-07-15 10:00:31
59,932000,tag2,54.0,true,1972-07-21,2013-07-15 10:00:32
60,933000,tag3,55.5,false,1972-07-22,2013-07-15 10:00:33
61,934000,tag4,57.0,true,1972-07-23,2013-07-15 10:00:34
62,935000,tag0,58.5,false,1972-07-24,2013-07-15 10:00:35
63,936000,tag1,60.0,true,1972-07-25,2013-07-15 10:00:36
64,937000,tag2,61.5,false,1972-07-26,2013-07-15 10:00:37
65,938000,,63.0,true,1972-07-27,2013-07-15 10:00:38
66,939000,tag4,64.5,false,1972-07-28,2013-07-15 10:00:39
67,940000,tag0,66.0,true,1972-07-29,2013-07-15 10:00:40
68,941000,tag1,67.5,false,1972-07-30,2013-07-15 10:00:41
69,942000,tag2,69.0,true,1972-07-31,2013-07-15 10:00:42
70,943000,tag3,70.5,false,1972-08-01,2013-07-15 10:00:43
71,944000,tag4,72.0,true,1972-08-02,2013-07-15 10:00:44
72,945000,,73.5,false,1972-08-03,2013-07-15 10:00:45
73,946000,tag1,75.0,true,1972-08-04,2013-07-15 10:00:46
74,947000,tag2,76.5,false,1972-08-05,2013-07-15 10:00:47
75,948000,tag3,78.0,true,1972-08-06,2013-07-15 10:00:48
76,949000,tag4,79.5,false,1972-08-07,2013-07-15 10:00:49
77,950000,tag0,81.0,true,1972-08-08,2013-07-15 10:00:50
78,951000,tag1,82.5,false,1972-08-09,2013-07-15 10:00:51
79,952000,,84.0,true,1972-08-10,2013-07-15 10:00:52
80,953000,tag3,85.5,false,1972-08-11,2013-07-15 10:00:53
81,954000,tag4,87.0,true,1972-08-12,2013-07-15 10:00:54
82,955000,tag0,88.5,false,1972-08-13,2013-07-15 10:00:55
83,956000,tag1,90.0,true,1972-08-14,2013-07-15 10:00:56
84,957000,tag2,91.5,false,1972-08-15,2013-07-15 10:00:57
85,958000,tag3,93.0,true,1972-08-16,2013-07-15 10:00:58
86,959000,,94.5,false,1972-08-17,2013-07-15 10:00:59
87,960000,tag0,0.0,true,1972-08-18,2013-07-15 10:01:00
88,961000,tag1,1.5,false,1972-08-19,2013-07-15 10:01:01
89,962000,tag2,3.0,true,1972-08-20,2013-07-15 10:01:02
90,963000,tag3,4.5,false,1972-08-21,2013-07-15 10:01:03
91,964000,tag4,6.0,true,1972-08-22,2013-07-15 10:01:04
92,965000,tag0,7.5,false,1972-08-23,2013-07-15 10:01:05
93,966000,,9.0,true,1972-08-24,2013-07-15 10:01:06
94,967000,tag2,10.5,false,1972-08-25,2013-07-15 10:01:07
95,968000,tag3,12.0,true,1972-08-26,2013-07-15 10:01:08
96,969000,tag4,13.5,false,1972-08-27,2013-07-15 10:01:09
0,970000,tag0,15.0,true,1972-08-28,2013-07-15 10:01:10
1,971000,tag1,16.5,false,1972-08-29,2013-07-15 10:01:11
2,972000,tag2,18.0,true,1972-08-30,2013-07-15 10:01:12
3,973000,,19.5,false,1972-08-31,2013-07-15 10:01:13
4,974000,tag4,21.0,true,1972-09-01,2013-07-15 10:01:14
5,975000,tag0,22.5,false,1972-09-02,2013-07-15 10:01:15
6,976000,tag1,24.0,true,1972-09-03,2013-07-15 10:01:16
7,977000,tag2,25.5,false,1972-09-04,2013-07-15 10:01:17
8,978000,tag3,27.0,true,1972-09-05,2013-07-15 10:01:18
9,979000,tag4,28.5,false,1972-09-06,2013-07-15 10:01:19
10,980000,,30.0,true,1972-09-07,2013-07-15 10:01:20
11,981000,tag1,31.5,false,1972-09-08,2013-07-15 10:01:21
12,982000,tag2,33.0,true,1972-09-09,2013-07-15 10:01:22
13,983000,tag3,34.5,false,1972-09-10,2013-07-15 10:01:23
14,984000,tag4,36.0,true,1972-09-11,2013-07-15 10:01:24
15,985000,tag0,37.5,false,1972-09-12,2013-07-15 10:01:25
16,986000,tag1,39.0,true,1972-09-13,2013-07-15 10:01:26
17,987000,,40.5,false,1972-09-14,2013-07-15 10:01:27
18,988000,tag3,42.0,true,1972-09-15,2013-07-15 10:01:28
19,989000,tag4,43.5,false,1972-09-16,2013-07-15 10:01:29
20,990000,tag0,45.0,true,1972-09-17,2013-07-15 10:01:30
21,991000,tag1,46.5,false,1972-09-18,2013-07-15 10:01:31
22,992000,tag2,48.0,true,1972-09-19,2013-07-15 10:01:32
23,993000,tag3,49.5,false,1972-09-20,2013-07-15 10:01:33
24,994000,,51.0,true,1972-09-21,2013-07-15 10:01:34
25,995000,tag0,52.5,false,1972-09-22,2013-07-15 10:01:35
26,996000,tag1,54.0,true,1972-09-23,2013-07-15 10:01:36
27,997000,tag2,55.5,false,1972-09-24,2013-07-15 10:01:37
28,998000,tag3,57.0,true,1972-09-25,2013-07-15 10:01:38
29,999000,tag4,58.5,false,1972-09-26,2013-07-15 10:01:39
30,0,tag0,60.0,true,1970-01-01,2013-07-15 10:01:40
31,1000,,61.5,false,1970-01-02,2013-07-15 10:01:41
32,2000,tag2,63.0,true,1970-01-03,2013-07-15 10:01:42
33,3000,tag3,64.5,false,1970-01-04,2013-07-15 10:01:43
34,4000,tag4,66.0,true,1970-01-05,2013-07-15 10:01:44
35,5000,tag0,67.5,false,1970-01-06,2013-07-15 10:01:45
36,6000,tag1,69.0,true,1970-01-07,2013-07-15 10:01:46
37,7000,tag2,70.5,false,1970-01-08,2013-07-15 10:01:47
38,8000,,72.0,true,1970-01-09,2013-07-15 10:01:48
39,9000,tag4,73.5,false,1970-01-10,2013-07-15 10:01:49
40,10000,tag0,75.0,true,1970-01-11,2013-07-15 10:01:50
41,11000,tag1,76.5,false,1970-01-12,2013-07-15 10:01:51
42,12000,tag2,78.0,true,1970-01-13,2013-07-15 10:01:52
43,13000,tag3,79.5,false,1970-01-14,2013-07-15 10:01:53
44,14000,tag4,81.0,true,1970-01-15,2013-07-15 10:01:54
45,15000,,82.5,false,1970-01-16,2013-07-15 10:01:55
46,16000,tag1,84.0,true,1970-01-17,2013-07-15 10:01:56
47,17000,tag2,85.5,false,1970-01-18,2013-07-15 10:01:57
48,18000,tag3,87.0,true,1970-01-19,2013-07-15 10:01:58
49,19000,tag4,88.5,false,1970-01-20,2013-07-15 10:01:59
50,20000,tag0,90.0,true,1970-01-21,2013-07-15 10:02:00
51,21000,tag1,91.5,false,1970-01-22,2013-07-15 10:02:01
52,22000,,93.0,true,1970-01-23,2013-07-15 10:02:02
53,23000,tag3,94.5,false,1970-01-24,2013-07-15 10:02:03
54,24000,tag4,0.0,true,1970-01-25,2013-07-15 10:02:04
55,25000,tag0,1.5,false,1970-01-26,2013-07-15 10:02:05
56,26000,tag1,3.0,true,1970-01-27,2013-07-15 10:02:06
57,27000,tag2,4.5,false,1970-01-28,2013-07-15 10:02:07
58,28000,tag3,6.0,true,1970-01-29,2013-07-15 10:02:08
59,29000,,7.5,false,1970-01-30,2013-07-15 10:02:09
60,30000,tag0,9.0,true,1970-01-31,2013-07-15 10:02:10
61,31000,tag1,10.5,false,1970-02-01,2013-07-15 10:02:11
62,32000,tag2,12.0,true,1970-02-02,2013-07-15 10:02:12
63,33000,tag3,13.5,false,1970-02-03,2013-07-15 10:02:13
64,34000,tag4,15.0,true,1970-02-04,2013-07-15 10:02:14
65,35000,tag0,16.5,false,1970-02-05,2013-07-15 10:02:15
66,36000,,18.0,true,1970-02-06,2013-07-15 10:02:16
67,37000,tag2,19.5,false,1970-02-07,2013-07-15 10:02:17
68,38000,tag3,21.0,true,1970-02-08,2013-07-15 10:02:18
69,39000,tag4,22.5,false,1970-02-09,2013-07-15 10:02:19
70,40000,tag0,24.0,true,1970-02-10,2013-07-15 10:02:20
71,41000,tag1,25.5,false,1970-02-11,2013-07-15 10:02:21
72,42000,tag2,27.0,true,1970-02-12,2013-07-15 10:02:22
73,43000,,28.5,false,1970-02-13,2013-07-15 10:02:23
74,44000,tag4,30.0,true,1970-02-14,2013-07-15 10:02:24
75,45000,tag0,31.5,false,1970-02-15,2013-07-15 10:02:25
76,46000,tag1,33.0,true,1970-02-16,2013-07-15 10:02:26
77,47000,tag2,34.5,false,1970-02-17,2013-07-15 10:02:27
78,48000,tag3,36.0,true,1970-02-18,2013-07-15 10:02:28
79,49000,tag4,37.5,false,1970-02-19,2013-07-15 10:02:29
80,50000,,39.0,true,1970-02-20,2013-07-15 10:02:30
81,51000,tag1,40.5,false,1970-02-21,2013-07-15 10:02:31
82,52000,tag2,42.0,true,1970-02-22,2013-07-15 10:02:32
83,53000,tag3,43.5,false,1970-02-23,2013-07-15 10:02:33
84,54000,tag4,45.0,true,1970-02-24,2013-07-15 10:02:34
85,55000,tag0,46.5,false,1970-02-25,2013-07-15 10:02:35
86,56000,tag1,48.0,true,1970-02-26,2013-07-15 10:02:36
87,57000,,49.5,false,1970-02-27,2013-07-15 10:02:37
88,58000,tag3,51.0,true,1970-02-28,2013-07-15 10:02:38
89,59000,tag4,52.5,false,1970-03-01,2013-07-15 10:02:39
90,60000,tag0,54.0,true,1970-03-02,2013-07-15 10:02:40
91,61000,tag1,55.5,false,1970-03-03,2013-07-15 10:02:41
92,62000,tag2,57.0,true,1970-03-04,2013-07-15 10:02:42
93,63000,tag3,58.5,false,1970-03-05,2013-07-15 10:02:43
94,64000,,60.0,true,1970-03-06,2013-07-15 10:02:44
95,65000,tag0,61.5,false,1970-03-07,2013-07-15 10:02:45
96,66000,tag1,63.0,true,1970-03-08,2013-07-15 10:02:46
0,67000,tag2,64.5,false,1970-03-09,2013-07-15 10:02:47
1,68000,tag3,66.0,true,1970-03-10,2013-07-15 10:02:48
2,69000,tag4,67.5,false,1970-03-11,2013-07-15 10:02:49
3,70000,tag0,69.0,true,1970-03-12,2013-07-15 10:02:50
4,71000,,70.5,false,1970-03-13,2013-07-15 10:02:51
5,72000,tag2,72.0,true,1970-03-14,2013-07-15 10:02:52
6,73000,tag3,73.5,false,1970-03-15,2013-07-15 10:02:53
7,74000,tag4,75.0,true,1970-03-16,2013-07-15 10:02:54
8,75000,tag0,76.5,false,1970-03-17,2013-07-15 10:02:55
9,76000,tag1,78.0,true,1970-03-18,2013-07-15 10:02:56
10,77000,tag2,79.5,false,1970-03-19,2013-07-15 10:02:57
11,78000,,81.0,true,1970-03-20,2013-07-15 10:02:58
12,79000,tag4,82.5,false,1970-03-21,2013-07-15 10:02:59
13,80000,tag0,84.0,true,1970-03-22,2013-07-15 10:03:00
14,81000,tag1,85.5,false,1970-03-23,2013-07-15 10:03:01
15,82000,tag2,87.0,true,1970-03-24,2013-07-15 10:03:02
16,83000,tag3,88.5,false,1970-03-25,2013-07-15 10:03:03
17,84000,tag4,90.0,true,1970-03-26,2013-07-15 10:03:04
18,85000,,91.5,false,1970-03-27,2013-07-15 10:03:05
19,86000,tag1,93.0,true,1970-03-28,2013-07-15 10:03:06
20,87000,tag2,94.5,false,1970-03-29,2013-07-15 10:03:07
21,88000,tag3,0.0,true,1970-03-30,2013-07-15 10:03:08
22,89000,tag4,1.5,false,1970-03-31,2013-07-15 10:03:09
23,90000,tag0,3.0,true,1970-04-01,2013-07-15 10:03:10
24,91000,tag1,4.5,false,1970-04-02,2013-07-15 10:03:11
25,92000,,6.0,true,1970-04-03,2013-07-15 10:03:12
26,93000,tag3,7.5,false,1970-04-04,2013-07-15 10:03:13
27,94000,tag4,9.0,true,1970-04-05,2013-07-15 10:03:14
28,95000,tag0,10.5,false,1970-04-06,2013-07-15 10:03:15
29,96000,tag1,12.0,true,1970-04-07,2013-07-15 10:03:16
30,97000,tag2,13.5,false,1970-04-08,2013-07-15 10:03:17
31,98000,tag3,15.0,true,1970-04-09,2013-07-15 10:03:18
32,99000,,16.5,false,1970-04-10,2013-07-15 10:03:19
33,100000,tag0,18.0,true,1970-04-11,2013-07-15 10:03:20
34,101000,tag1,19.5,false,1970-04-12,2013-07-15 10:03:21
35,102000,tag2,21.0,true,1970-04-13,2013-07-15 10:03:22
36,103000,tag3,22.5,false,1970-04-14,2013-07-15 10:03:23
37,104000,tag4,24.0,true,1970-04-15,2013-07-15 10:03:24
38,105000,tag0,25.5,false,1970-04-16,2013-07-15 10:03:25
39,106000,,27.0,true,1970-04-17,2013-07-15 10:03:26
40,107000,tag2,28.5,false,1970-04-18,2013-07-15 10:03:27
41,108000,tag3,30.0,true,1970-04-19,2013-07-15 10:03:28
42,109000,tag4,31.5,false,1970-04-20,2013-07-15 10:03:29
43,110000,tag0,33.0,true,1970-04-21,2013-07-15 10:03:30
44,111000,tag1,34.5,false,1970-04-22,2013-07-15 10:03:31
45,112000,tag2,36.0,true,1970-04-23,2013-07-15 10:03:32
46,113000,,37.5,false,1970-04-24,2013-07-15 10:03:33
47,114000,tag4,39.0,true,1970-04-25,2013-07-15 10:03:34
48,115000,tag0,40.5,false,1970-04-26,2013-07-15 10:03:35
49,116000,tag1,42.0,true,1970-04-27,2013-07-15 10:03:36
50,117000,tag2,43.5,false,1970-04-28,2013-07-15 10:03:37
51,118000,tag3,45.0,true,1970-04-29,2013-07-15 10:03:38
52,119000,tag4,46.5,false,1970-04-30,2013-07-15 10:03:39
53,120000,,48.0,true,1970-05-01,2013-07-15 10:03:40
54,121000,tag1,49.5,false,1970-05-02,2013-07-15 10:03:41
55,122000,tag2,51.0,true,1970-05-03,2013-07-15 10:03:42
56,123000,tag3,52.5,false,1970-05-04,2013-07-15 10:03:43
57,124000,tag4,54.0,true,1970-05-05,2013-07-15 10:03:44
58,125000,tag0,55.5,false,1970-05-06,2013-07-15 10:03:45
59,126000,tag1,57.0,true,1970-05-07,2013-07-15 10:03:46
60,127000,,58.5,false,1970-05-08,2013-07-15 10:03:47
61,128000,tag3,60.0,true,1970-05-09,2013-07-15 10:03:48
62,129000,tag4,61.5,false,1970-05-10,2013-07-15 10:03:49
63,130000,tag0,63.0,true,1970-05-11,2013-07-15 10:03:50
64,131000,tag1,64.5,false,1970-05-12,2013-07-15 10:03:51
65,132000,tag2,66.0,true,1970-05-13,2013-07-15 10:03:52
66,133000,tag3,67.5,false,1970-05-14,2013-07-15 10:03:53
67,134000,,69.0,true,1970-05-15,2013-07-15 10:03:54
68,135000,tag0,70.5,false,1970-05-16,2013-07-15 10:03:55
69,136000,tag1,72.0,true,1970-05-17,2013-07-15 10:03:56
70,137000,tag2,73.5,false,1970-05-18,2013-07-15 10:03:57
71,138000,tag3,75.0,true,1970-05-19,2013-07-15 10:03:58
72,139000,tag4,76.5,false,1970-05-20,2013-07-15 10:03:59
73,140000,tag0,78.0,true,1970-05-21,2013-07-15 10:04:00
74,141000,,79.5,false,1970-05-22,2013-07-15 10:04:01
75,142000,tag2,81.0,true,1970-05-23,2013-07-15 10:04:02
76,143000,tag3,82.5,false,1970-05-24,2013-07-15 10:04:03
77,144000,tag4,84.0,true,1970-05-25,2013-07-15 10:04:04
78,145000,tag0,85.5,false,1970-05-26,2013-07-15 10:04:05
79,146000,tag1,87.0,true,1970-05-27,2013-07-15 10:04:06
80,147000,tag2,88.5,false,1970-05-28,2013-07-15 10:04:07
81,148000,,90.0,true,1970-05-29,2013-07-15 10:04:08
82,149000,tag4,91.5,false,1970-05-30,2013-07-15 10:04:09
83,150000,tag0,93.0,true,1970-05-31,2013-07-15 10:04:10
84,151000,tag1,94.5,false,1970-06-01,2013-07-15 10:04:11
85,152000,tag2,0.0,true,1970-06-02,2013-07-15 10:04:12
86,153000,tag3,1.5,false,1970-06-03,2013-07-15 10:04:13
87,154000,tag4,3.0,true,1970-06-04,2013-07-15 10:04:14
88,155000,,4.5,false,1970-06-05,2013-07-15 10:04:15
89,156000,tag1,6.0,true,1970-06-06,2013-07-15 10:04:16
90,157000,tag2,7.5,false,1970-06-07,2013-07-15 10:04:17
91,158000,tag3,9.0,true,1970-06-08,2013-07-15 10:04:18
92,159000,tag4,10.5,false,1970-06-09,2013-07-15 10:04:19
93,160000,tag0,12.0,true,1970-06-10,2013-07-15 10:04:20
94,161000,tag1,13.5,false,1970-06-11,2013-07-15 10:04:21
95,162000,,15.0,true,1970-06-12,2013-07-15 10:04:22
96,163000,tag3,16.5,false,1970-06-13,2013-07-15 10:04:23
0,164000,tag4,18.0,true,1970-06-14,2013-07-15 10:04:24
1,165000,tag0,19.5,false,1970-06-15,2013-07-15 10:04:25
2,166000,tag1,21.0,true,1970-06-16,2013-07-15 10:04:26
3,167000,tag2,22.5,false,1970-06-17,2013-07-15 10:04:27
4,168000,tag3,24.0,true,1970-06-18,2013-07-15 10:04:28
5,169000,,25.5,false,1970-06-19,2013-07-15 10:04:29
6,170000,tag0,27.0,true,1970-06-20,2013-07-15 10:04:30
7,171000,tag1,28.5,false,1970-06-21,2013-07-15 10:04:31
8,172000,tag2,30.0,true,1970-06-22,2013-07-15 10:04:32
9,173000,tag3,31.5,false,1970-06-23,2013-07-15 10:04:33
10,174000,tag4,33.0,true,1970-06-24,2013-07-15 10:04:34
11,175000,tag0,34.5,false,1970-06-25,2013-07-15 10:04:35
12,176000,,36.0,true,1970-06-26,2013-07-15 10:04:36
13,177000,tag2,37.5,false,1970-06-27,2013-07-15 10:04:37
14,178000,tag3,39.0,true,1970-06-28,2013-07-15 10:04:38
15,179000,tag4,40.5,false,1970-06-29,2013-07-15 10:04:39
16,180000,tag0,42.0,true,1970-06-30,2013-07-15 10:04:40
17,181000,tag1,43.5,false,1970-07-01,2013-07-15 10:04:41
18,182000,tag2,45.0,true,1970-07-02,2013-07-15 10:04:42
19,183000,,46.5,false,1970-07-03,2013-07-15 10:04:43
20,184000,tag4,48.0,true,1970-07-04,2013-07-15 10:04:44
21,185000,tag0,49.5,false,1970-07-05,2013-07-15 10:04:45
22,186000,tag1,51.0,true,1970-07-06,2013-07-15 10:04:46
23,187000,tag2,52.5,false,1970-07-07,2013-07-15 10:04:47
24,188000,tag3,54.0,true,1970-07-08,2013-07-15 10:04:48
25,189000,tag4,55.5,false,1970-07-09,2013-07-15 10:04:49
26,190000,,57.0,true,1970-07-10,2013-07-15 10:04:50
27,191000,tag1,58.5,false,1970-07-11,2013-07-15 10:04:51
28,192000,tag2,60.0,true,1970-07-12,2013-07-15 10:04:52
29,193000,tag3,61.5,false,1970-07-13,2013-07-15 10:04:53
30,194000,tag4,63.0,true,1970-07-14,2013-07-15 10:04:54
31,195000,tag0,64.5,false,1970-07-15,2013-07-15 10:04:55
32,196000,tag1,66.0,true,1970-07-16,2013-07-15 10:04:56
33,197000,,67.5,false,1970-07-17,2013-07-15 10:04:57
34,198000,tag3,69.0,true,1970-07-18,2013-07-15 10:04:58
35,199000,tag4,70.5,false,1970-07-19,2013-07-15 10:04:59
36,200000,tag0,72.0,true,1970-07-20,2013-07-15 10:05:00
37,201000,tag1,73.5,false,1970-07-21,2013-07-15 10:05:01
38,202000,tag2,75.0,true,1970-07-22,2013-07-15 10:05:02
39,203000,tag3,76.5,false,1970-07-23,2013-07-15 10:05:03
40,204000,,78.0,true,1970-07-24,2013-07-15 10:05:04
41,205000,tag0,79.5,false,1970-07-25,2013-07-15 10:05:05
42,206000,tag1,81.0,true,1970-07-26,2013-07-15 10:05:06
43,207000,tag2,82.5,false,1970-07-27,2013-07-15 10:05:07
44,208000,tag3,84.0,true,1970-07-28,2013-07-15 10:05:08
45,209000,tag4,85.5,false,1970-07-29,2013-07-15 10:05:09
46,210000,tag0,87.0,true,1970-07-30,2013-07-15 10:05:10
47,211000,,88.5,false,1970-07-31,2013-07-15 10:05:11
48,212000,tag2,90.0,true,1970-08-01,2013-07-15 10:05:12
49,213000,tag3,91.5,false,1970-08-02,2013-07-15 10:05:13
50,214000,tag4,93.0,true,1970-08-03,2013-07-15 10:05:14
51,215000,tag0,94.5,false,1970-08-04,2013-07-15 10:05:15
52,216000,tag1,0.0,true,1970-08-05,2013-07-15 10:05:16
53,217000,tag2,1.5,false,1970-08-06,2013-07-15 10:05:17
54,218000,,3.0,true,1970-08-07,2013-07-15 10:05:18
55,219000,tag4,4.5,false,1970-08-08,2013-07-15 10:05:19
56,220000,tag0,6.0,true,1970-08-09,2013-07-15 10:05:20
57,221000,tag1,7.5,false,1970-08-10,2013-07-15 10:05:21
58,222000,tag2,9.0,true,1970-08-11,2013-07-15 10:05:22
59,223000,tag3,10.5,false,1970-08-12,2013-07-15 10:05:23
60,224000,tag4,12.0,true,1970-08-13,2013-07-15 10:05:24
61,225000,,13.5,false,1970-08-14,2013-07-15 10:05:25
62,226000,tag1,15.0,true,1970-08-15,2013-07-15 10:05:26
63,227000,tag2,16.5,false,1970-08-16,2013-07-15 10:05:27
64,228000,tag3,18.0,true,1970-08-17,2013-07-15 10:05:28
65,229000,tag4,19.5,false,1970-08-18,2013-07-15 10:05:29
66,230000,tag0,21.0,true,1970-08-19,2013-07-15 10:05:30
67,231000,tag1,22.5,false,1970-08-20,2013-07-15 10:05:31
